time,low,high,open,close,volume
2021-03-20 17:00:00,1543.93,1551.99,1548.0,1548.28,528.09554793
2021-03-20 18:00:00,1547.61,1555.16,1548.28,1548.66,320.91771446
2021-03-20 19:00:00,1547.9,1555.44,1547.9,1551.84,205.23425432
2021-03-20 20:00:00,1527.56,1552.49,1552.34,1538.06,1646.38843934
2021-03-20 21:00:00,1534.81,1543.51,1537.3,1543.06,256.30485225
2021-03-20 22:00:00,1535.62,1547.14,1542.4,1536.51,243.76350029
2021-03-20 23:00:00,1516.35,1537.04,1535.16,1519.8,630.69040849
2021-03-21 00:00:00,1504.5,1528.76,1518.77,1515.0,696.44466975
2021-03-21 01:00:00,1510.42,1524.35,1515.0,1516.66,376.64752743
2021-03-21 02:00:00,1496.6,1514.82,1514.82,1499.43,1243.09531094
2021-03-21 03:00:00,1498.91,1507.06,1499.39,1502.92,223.21775284
2021-03-21 04:00:00,1490.22,1506.61,1503.61,1493.16,1141.73314858
2021-03-21 05:00:00,1491.97,1499.76,1495.52,1498.18,515.30430513
2021-03-21 06:00:00,1491.84,1507.0,1497.54,1497.05,910.66698191
2021-03-21 07:00:00,1496.24,1504.76,1497.68,1500.65,1008.97176481
2021-03-21 08:00:00,1497.05,1505.97,1500.6,1504.35,737.59951171
2021-03-21 09:00:00,1477.77,1505.58,1504.2,1488.45,2125.11798869
2021-03-21 10:00:00,1484.56,1494.73,1488.45,1489.54,1172.10332892
2021-03-21 11:00:00,1482.23,1495.83,1490.11,1493.54,728.91773416
2021-03-21 12:00:00,1482.08,1493.92,1493.78,1490.19,725.58560493
2021-03-21 13:00:00,1490.12,1508.99,1490.19,1504.23,1121.79082463
2021-03-21 14:00:00,1503.15,1507.56,1504.58,1505.0,925.03676197
2021-03-21 15:00:00,1504.19,1514.83,1504.32,1507.7,683.49477175
2021-03-21 16:00:00,1497.1,1509.54,1507.73,1501.1,384.16987808
2021-03-21 17:00:00,1499.08,1508.57,1500.0,1507.8,263.40707277
2021-03-21 18:00:00,1503.25,1515.98,1507.84,1513.59,491.60209545
2021-03-21 19:00:00,1512.56,1517.18,1513.0,1515.55,806.91910372
2021-03-21 20:00:00,1513.0,1519.93,1516.34,1517.15,693.96133549
2021-03-21 21:00:00,1515.34,1525.0,1516.95,1524.87,821.28686946
2021-03-21 22:00:00,1504.0,1524.88,1523.1,1504.0,431.404676
2021-03-21 23:00:00,1495.5,1509.81,1504.0,1502.0,343.89830768
2021-03-22 00:00:00,1479.67,1504.92,1503.07,1481.45,982.78398693
2021-03-22 01:00:00,1478.43,1488.57,1481.73,1485.95,899.10280174
2021-03-22 02:00:00,1480.22,1494.58,1485.76,1491.61,946.49720284
2021-03-22 03:00:00,1490.15,1503.5,1490.67,1502.68,278.06220127
2021-03-22 04:00:00,1496.73,1504.92,1502.58,1504.92,138.41210523
2021-03-22 05:00:00,1498.72,1508.0,1503.73,1504.96,332.761066
2021-03-22 06:00:00,1505.78,1510.25,1505.96,1507.4,271.29902589
2021-03-22 07:00:00,1502.76,1512.2,1506.18,1507.15,867.68985267
2021-03-22 08:00:00,1495.59,1507.71,1506.6,1496.97,650.97996825
2021-03-22 09:00:00,1492.7,1499.22,1497.06,1498.85,1413.46426243
2021-03-22 10:00:00,1496.35,1518.16,1498.79,1507.24,1204.81253939
2021-03-22 11:00:00,1501.94,1514.54,1506.33,1507.43,444.87278335
2021-03-22 12:00:00,1492.0,1507.71,1506.29,1498.74,896.35374269
2021-03-22 13:00:00,1485.53,1502.65,1497.86,1492.14,946.68917107
2021-03-22 14:00:00,1490.5,1500.0,1492.0,1492.26,943.86326788
2021-03-22 15:00:00,1490.43,1498.94,1492.56,1492.03,430.78432767
2021-03-22 16:00:00,1476.01,1496.75,1492.18,1488.66,1610.96675673
2021-03-22 17:00:00,1482.93,1494.79,1488.59,1493.61,452.89011376
2021-03-22 18:00:00,1483.0,1496.0,1492.96,1486.37,851.7087813
2021-03-22 19:00:00,1458.7,1487.19,1485.8,1459.36,2089.23098966
2021-03-22 20:00:00,1407.58,1465.13,1459.36,1407.58,3302.52329259
2021-03-22 21:00:00,1393.39,1421.52,1408.18,1410.4,2154.05726911
2021-03-22 22:00:00,1390.38,1422.87,1409.23,1421.8,2229.04591803
2021-03-22 23:00:00,1411.45,1430.39,1422.65,1412.41,1151.75612443
2021-03-23 00:00:00,1400.0,1423.36,1412.74,1419.93,846.52978398
2021-03-23 01:00:00,1417.64,1439.8,1420.11,1434.9,695.57048804
2021-03-23 02:00:00,1420.19,1437.28,1435.4,1422.17,463.24721918
2021-03-23 03:00:00,1418.12,1430.25,1422.85,1430.25,231.33252132
2021-03-23 04:00:00,1417.55,1431.84,1429.94,1424.0,447.03032578
2021-03-23 05:00:00,1401.0,1426.02,1424.06,1409.73,904.32729674
2021-03-23 06:00:00,1387.45,1411.34,1410.11,1390.89,1661.93169087
2021-03-23 07:00:00,1390.34,1417.2,1390.34,1414.92,1831.40600248
2021-03-23 08:00:00,1404.74,1419.56,1414.1,1416.57,1510.98874491
2021-03-23 09:00:00,1413.38,1424.0,1416.0,1421.84,1310.39701092
2021-03-23 10:00:00,1418.96,1426.9,1421.55,1424.68,1257.6939637
2021-03-23 11:00:00,1417.49,1430.35,1424.13,1421.1,832.72212057
2021-03-23 12:00:00,1421.4,1439.72,1421.94,1436.04,975.60463611
2021-03-23 13:00:00,1435.16,1448.09,1436.43,1441.9,954.57860893
2021-03-23 14:00:00,1425.5,1446.64,1441.46,1439.81,1236.60165863
2021-03-23 15:00:00,1433.69,1444.43,1439.76,1434.9,637.29957684
2021-03-23 16:00:00,1427.8,1449.83,1435.6,1442.71,893.6609582
2021-03-23 17:00:00,1441.07,1449.63,1442.35,1448.49,526.67815291
